[20:09:29 gpu 11.5G ram 6.0G] (0) Epoch 1/1, Batch 1/9734 (mgh16_4), Loss: 4.6562
[20:09:55 gpu 11.5G ram 8.8G] (0) Epoch 1/1, Batch 30/9734 (mgh4_0), Loss: 4.5625
[20:09:56 gpu 11.5G ram 8.7G] (0) Epoch 1/1, Batch 31/9734 (mgh12_1), Loss: 4.5312
[20:09:56 gpu 11.5G ram 8.7G] (0) Epoch 1/1, Batch 32/9734 (mgh24_0), Loss: 4.5000
[20:09:56 gpu 11.5G ram 8.7G] (0) Epoch 1/1, Batch 33/9734 (mgh40_3), Loss: 4.4375
[20:09:56 gpu 11.5G ram 8.7G] (0) Epoch 1/1, Batch 34/9734 (mgh13_0), Loss: 4.4375
[20:09:56 gpu 11.5G ram 8.7G] (0) Epoch 1/1, Batch 35/9734 (mgh19_1), Loss: 4.5938
[20:09:57 gpu 11.5G ram 8.7G] (0) Epoch 1/1, Batch 36/9734 (mgh40_2), Loss: 4.2500
[20:09:57 gpu 11.5G ram 8.7G] (0) Epoch 1/1, Batch 37/9734 (mgh4_0), Loss: 4.5938
[20:09:58 gpu 11.5G ram 8.7G] (0) Epoch 1/1, Batch 38/9734 (mgh1_0), Loss: 4.5000
[20:09:58 gpu 11.5G ram 8.7G] (0) Epoch 1/1, Batch 39/9734 (mgh13_0), Loss: 4.2500
[20:09:58 gpu 11.5G ram 8.7G] (0) Epoch 1/1, Batch 40/9734 (mgh40_3), Loss: 4.4688
[20:10:15 gpu 11.5G ram 8.7G] (0) Epoch 1/1, Batch 41/9734 (mgh40_2), Loss: 4.1875
[20:10:15 gpu 11.5G ram 8.7G] (0) Epoch 1/1, Batch 42/9734 (mgh34_5), Loss: 4.5000
[20:10:16 gpu 11.5G ram 8.8G] (0) Epoch 1/1, Batch 43/9734 (mgh14_1), Loss: 4.5938
[20:10:16 gpu 11.5G ram 8.7G] (0) Epoch 1/1, Batch 44/9734 (mgh7_2), Loss: 4.5000
[20:10:16 gpu 11.5G ram 8.7G] (0) Epoch 1/1, Batch 45/9734 (mgh52_0), Loss: 4.5938
[20:10:16 gpu 11.5G ram 8.7G] (0) Epoch 1/1, Batch 46/9734 (mgh8_0), Loss: 4.3438
[20:10:17 gpu 11.5G ram 8.7G] (0) Epoch 1/1, Batch 47/9734 (mgh4_0), Loss: 4.5625
[20:10:17 gpu 11.5G ram 8.7G] (0) Epoch 1/1, Batch 48/9734 (mgh40_2), Loss: 4.3438
[20:10:17 gpu 11.5G ram 8.7G] (0) Epoch 1/1, Batch 49/9734 (mgh40_0), Loss: 4.5000
[20:10:17 gpu 11.5G ram 8.7G] (0) Epoch 1/1, Batch 50/9734 (btbank1_0), Loss: 4.6250
[20:10:17 gpu 11.5G ram 8.7G] (0) Epoch 1/1, Batch 51/9734 (mgh46_0), Loss: 4.4688
[20:10:17 gpu 11.5G ram 8.7G] (0) Epoch 1/1, Batch 52/9734 (mgh17_1), Loss: 4.2188
[20:10:18 gpu 11.5G ram 8.9G] (0) Epoch 1/1, Batch 53/9734 (mgh51_0), Loss: 4.4375
[20:10:18 gpu 11.5G ram 8.9G] (0) Epoch 1/1, Batch 54/9734 (mgh18_0), Loss: 4.5312
[20:10:18 gpu 11.5G ram 8.9G] (0) Epoch 1/1, Batch 55/9734 (mgh52_0), Loss: 4.4688
[20:10:18 gpu 11.5G ram 8.9G] (0) Epoch 1/1, Batch 56/9734 (mgh62_1), Loss: 4.2500
[20:10:21 gpu 11.5G ram 8.9G] (0) Epoch 1/1, Batch 57/9734 (mgh20_0), Loss: 9.0000
[20:10:21 gpu 11.5G ram 8.9G] (0) Epoch 1/1, Batch 58/9734 (mgh1_2), Loss: 4.6875
[20:10:21 gpu 11.5G ram 8.9G] (0) Epoch 1/1, Batch 59/9734 (mgh40_0), Loss: 4.0938
[20:10:21 gpu 11.5G ram 8.9G] (0) Epoch 1/1, Batch 60/9734 (mgh18_0), Loss: 4.4688
[20:10:22 gpu 11.5G ram 8.9G] (0) Epoch 1/1, Batch 61/9734 (mgh28_0), Loss: 8.3125
[20:10:22 gpu 11.5G ram 8.9G] (0) Epoch 1/1, Batch 62/9734 (mgh33_0), Loss: 4.3125
[20:10:22 gpu 11.5G ram 8.9G] (0) Epoch 1/1, Batch 63/9734 (mgh46_0), Loss: 4.3125
[20:10:22 gpu 11.5G ram 8.9G] (0) Epoch 1/1, Batch 64/9734 (mgh10_4), Loss: 4.5625
[20:10:23 gpu 11.5G ram 8.9G] (0) Epoch 1/1, Batch 65/9734 (mgh57_1), Loss: 10.3125
[20:10:23 gpu 11.5G ram 8.9G] (0) Epoch 1/1, Batch 66/9734 (mgh34_3), Loss: 4.4062
[20:10:49 gpu 11.5G ram 9.6G] (0) Epoch 1/1, Batch 67/9734 (btbank2_5), Loss: 4.5938
[20:10:49 gpu 11.5G ram 9.6G] (0) Epoch 1/1, Batch 68/9734 (mgh7_2), Loss: 8.7500
[20:10:49 gpu 11.5G ram 9.6G] (0) Epoch 1/1, Batch 69/9734 (mgh40_0), Loss: 3.9844
[20:10:49 gpu 11.5G ram 9.6G] (0) Epoch 1/1, Batch 70/9734 (mgh40_5), Loss: 4.1250
[20:10:49 gpu 11.5G ram 9.6G] (0) Epoch 1/1, Batch 71/9734 (mgh3_0), Loss: 6.1250
[20:10:50 gpu 11.5G ram 9.6G] (0) Epoch 1/1, Batch 72/9734 (mgh40_2), Loss: 4.0938
[20:10:50 gpu 11.5G ram 9.6G] (0) Epoch 1/1, Batch 73/9734 (mgh61_0), Loss: 4.7188
[20:10:50 gpu 11.5G ram 9.6G] (0) Epoch 1/1, Batch 74/9734 (mgh3_0), Loss: 28.7500
[20:10:50 gpu 11.5G ram 9.6G] (0) Epoch 1/1, Batch 75/9734 (mgh57_0), Loss: 19.5000
[20:10:50 gpu 11.5G ram 9.6G] (0) Epoch 1/1, Batch 76/9734 (mgh30_1), Loss: 4.3438
[20:10:51 gpu 11.5G ram 9.6G] (0) Epoch 1/1, Batch 77/9734 (mgh40_3), Loss: 4.0938
[20:10:51 gpu 11.5G ram 9.6G] (0) Epoch 1/1, Batch 78/9734 (mgh32_0), Loss: 4.5625
[20:10:51 gpu 11.5G ram 9.6G] (0) Epoch 1/1, Batch 79/9734 (mgh22_0), Loss: 4.5000
[20:10:51 gpu 11.5G ram 9.6G] (0) Epoch 1/1, Batch 80/9734 (mgh5_0), Loss: 0.3535
[20:10:51 gpu 11.5G ram 9.6G] (0) Epoch 1/1, Batch 81/9734 (mgh20_0), Loss: 14.0000
[20:11:01 gpu 11.5G ram 9.9G] (0) Epoch 1/1, Batch 82/9734 (btbank2_3), Loss: 4.5938
[20:11:01 gpu 11.5G ram 9.9G] (0) Epoch 1/1, Batch 83/9734 (btbank2_6), Loss: 4.5938
[20:11:01 gpu 11.5G ram 9.9G] (0) Epoch 1/1, Batch 84/9734 (mgh40_2), Loss: 4.0938
[20:11:02 gpu 11.5G ram 9.9G] (0) Epoch 1/1, Batch 85/9734 (mgh40_1), Loss: 5.8438
[20:11:02 gpu 11.5G ram 9.9G] (0) Epoch 1/1, Batch 86/9734 (btbank2_2), Loss: 4.6250
[20:11:02 gpu 11.5G ram 9.9G] (0) Epoch 1/1, Batch 87/9734 (mgh12_1), Loss: 4.2812
[20:11:02 gpu 11.5G ram 9.9G] (0) Epoch 1/1, Batch 88/9734 (mgh40_0), Loss: 4.1875
[20:11:02 gpu 11.5G ram 9.9G] (0) Epoch 1/1, Batch 89/9734 (mgh33_0), Loss: 4.2500
[20:11:15 gpu 11.5G ram 9.9G] (0) Epoch 1/1, Batch 90/9734 (btbank2_1), Loss: 4.6875
[20:11:15 gpu 11.5G ram 9.9G] (0) Epoch 1/1, Batch 91/9734 (btbank2_5), Loss: 4.6250
[20:11:15 gpu 11.5G ram 9.9G] (0) Epoch 1/1, Batch 92/9734 (mgh54_1), Loss: 4.3125
[20:11:15 gpu 11.5G ram 9.9G] (0) Epoch 1/1, Batch 93/9734 (mgh40_5), Loss: 4.1250
[20:11:23 gpu 11.5G ram 11.6G] (0) Epoch 1/1, Batch 94/9734 (mgh40_6), Loss: 4.1250
[20:11:23 gpu 11.5G ram 11.6G] (0) Epoch 1/1, Batch 95/9734 (mgh57_0), Loss: 22.7500
[20:11:23 gpu 11.5G ram 11.6G] (0) Epoch 1/1, Batch 96/9734 (mgh33_0), Loss: 4.2812
[20:11:24 gpu 11.5G ram 11.7G] (0) Epoch 1/1, Batch 97/9734 (mgh40_1), Loss: 4.0625
[20:11:24 gpu 11.5G ram 11.6G] (0) Epoch 1/1, Batch 98/9734 (mgh32_0), Loss: 4.4688
[20:11:24 gpu 11.5G ram 11.6G] (0) Epoch 1/1, Batch 99/9734 (mgh53_0), Loss: 6.9375
[20:11:24 gpu 11.5G ram 11.6G] (0) Epoch 1/1, Batch 100/9734 (mgh1_0), Loss: 4.2500
[20:11:24 gpu 11.5G ram 11.6G] (0) Epoch 1/1, Batch 101/9734 (mgh7_2), Loss: 6.1875
[20:11:25 gpu 11.5G ram 11.6G] (0) Epoch 1/1, Batch 102/9734 (btbank9_0), Loss: 4.5938
[20:11:25 gpu 11.5G ram 11.6G] (0) Epoch 1/1, Batch 103/9734 (mgh10_0), Loss: 4.5312
[20:11:25 gpu 11.5G ram 11.6G] (0) Epoch 1/1, Batch 104/9734 (mgh40_6), Loss: 4.0938
[20:11:25 gpu 11.5G ram 11.6G] (0) Epoch 1/1, Batch 105/9734 (mgh3_0), Loss: 17.5000
[20:11:26 gpu 11.5G ram 11.6G] (0) Epoch 1/1, Batch 106/9734 (mgh13_0), Loss: 4.1875
[20:11:26 gpu 11.5G ram 11.6G] (0) Epoch 1/1, Batch 107/9734 (mgh33_0), Loss: 4.3750
[20:11:26 gpu 11.5G ram 11.6G] (0) Epoch 1/1, Batch 108/9734 (mgh42_0), Loss: 4.3125
[20:11:26 gpu 11.5G ram 11.6G] (0) Epoch 1/1, Batch 109/9734 (mgh52_0), Loss: 4.6250
[20:11:26 gpu 11.5G ram 11.6G] (0) Epoch 1/1, Batch 110/9734 (mgh9_1), Loss: 4.5000
[20:11:27 gpu 11.5G ram 11.6G] (0) Epoch 1/1, Batch 111/9734 (mgh26_0), Loss: 3.8125
[20:11:27 gpu 11.5G ram 11.6G] (0) Epoch 1/1, Batch 112/9734 (mgh13_0), Loss: 4.1250
[20:11:27 gpu 11.5G ram 11.6G] (0) Epoch 1/1, Batch 113/9734 (mgh10_4), Loss: 5.0000
[20:11:27 gpu 11.5G ram 11.6G] (0) Epoch 1/1, Batch 114/9734 (mgh20_0), Loss: 5.1562
[20:11:28 gpu 11.5G ram 11.6G] (0) Epoch 1/1, Batch 115/9734 (mgh11_1), Loss: 3.4375
[20:11:28 gpu 11.5G ram 11.6G] (0) Epoch 1/1, Batch 116/9734 (mgh22_0), Loss: 4.3125
[20:12:20 gpu 11.5G ram 12.1G] (0) Epoch 1/1, Batch 117/9734 (btbank4_1), Loss: 4.6250
[20:12:20 gpu 11.5G ram 12.1G] (0) Epoch 1/1, Batch 118/9734 (mgh40_0), Loss: 4.1250
[20:12:20 gpu 11.5G ram 12.1G] (0) Epoch 1/1, Batch 119/9734 (mgh29_1), Loss: 4.4375
[20:12:20 gpu 11.5G ram 12.1G] (0) Epoch 1/1, Batch 120/9734 (mgh3_0), Loss: 10.1250
[20:12:21 gpu 11.5G ram 12.1G] (0) Epoch 1/1, Batch 121/9734 (mgh40_0), Loss: 3.9688
[20:12:21 gpu 11.5G ram 12.1G] (0) Epoch 1/1, Batch 122/9734 (mgh40_2), Loss: 4.0312
[20:12:21 gpu 11.5G ram 12.1G] (0) Epoch 1/1, Batch 123/9734 (mgh40_1), Loss: 3.8594
[20:12:21 gpu 11.5G ram 12.1G] (0) Epoch 1/1, Batch 124/9734 (mgh33_0), Loss: 4.1250
[20:12:21 gpu 11.5G ram 12.1G] (0) Epoch 1/1, Batch 125/9734 (mgh3_1), Loss: 4.0000
[20:12:22 gpu 11.5G ram 12.1G] (0) Epoch 1/1, Batch 126/9734 (mgh13_0), Loss: 4.1875
[20:12:22 gpu 11.5G ram 12.1G] (0) Epoch 1/1, Batch 127/9734 (mgh20_0), Loss: 4.0625
[20:12:22 gpu 11.5G ram 12.1G] (0) Epoch 1/1, Batch 128/9734 (mgh40_2), Loss: 4.0938
[20:12:22 gpu 11.5G ram 12.1G] (0) Epoch 1/1, Batch 129/9734 (mgh14_1), Loss: 4.5625
[20:12:22 gpu 11.5G ram 12.1G] (0) Epoch 1/1, Batch 130/9734 (mgh3_0), Loss: 4.4375
[20:12:23 gpu 11.5G ram 12.1G] (0) Epoch 1/1, Batch 131/9734 (mgh13_0), Loss: 4.0938
[20:12:23 gpu 11.5G ram 12.1G] (0) Epoch 1/1, Batch 132/9734 (mgh25_1), Loss: 4.2188
[20:12:23 gpu 11.5G ram 12.1G] (0) Epoch 1/1, Batch 133/9734 (mgh40_3), Loss: 3.9219
[20:12:23 gpu 11.5G ram 12.1G] (0) Epoch 1/1, Batch 134/9734 (mgh6_1), Loss: 4.4062
[20:12:24 gpu 11.5G ram 12.1G] (0) Epoch 1/1, Batch 135/9734 (mgh18_0), Loss: 4.3438
[20:12:24 gpu 11.5G ram 12.1G] (0) Epoch 1/1, Batch 136/9734 (mgh25_1), Loss: 4.2500
[20:12:24 gpu 11.5G ram 12.1G] (0) Epoch 1/1, Batch 137/9734 (mgh25_1), Loss: 4.2188
[20:12:24 gpu 11.5G ram 12.1G] (0) Epoch 1/1, Batch 138/9734 (mgh29_1), Loss: 4.2812
[20:12:24 gpu 11.5G ram 12.1G] (0) Epoch 1/1, Batch 139/9734 (mgh20_0), Loss: 4.0312
[20:12:25 gpu 11.5G ram 12.1G] (0) Epoch 1/1, Batch 140/9734 (mgh28_0), Loss: 9.5000
[20:12:25 gpu 11.5G ram 12.1G] (0) Epoch 1/1, Batch 141/9734 (mgh30_1), Loss: 3.8125
[20:12:25 gpu 11.5G ram 12.1G] (0) Epoch 1/1, Batch 142/9734 (mgh40_5), Loss: 3.8750
[20:12:25 gpu 11.5G ram 12.1G] (0) Epoch 1/1, Batch 143/9734 (mgh13_0), Loss: 3.9844
[20:12:56 gpu 11.5G ram 12.1G] (0) Epoch 1/1, Batch 144/9734 (mgh40_1), Loss: 3.7344
[20:12:57 gpu 11.5G ram 12.1G] (0) Epoch 1/1, Batch 145/9734 (mgh34_4), Loss: 4.2812
[20:12:57 gpu 11.5G ram 12.1G] (0) Epoch 1/1, Batch 146/9734 (mgh40_2), Loss: 4.0312
[20:12:57 gpu 11.5G ram 12.1G] (0) Epoch 1/1, Batch 147/9734 (mgh40_2), Loss: 4.0625
[20:12:57 gpu 11.5G ram 12.1G] (0) Epoch 1/1, Batch 148/9734 (mgh36_2), Loss: 11.4375
[20:12:57 gpu 11.5G ram 12.1G] (0) Epoch 1/1, Batch 149/9734 (mgh40_0), Loss: 4.5312
[20:12:57 gpu 11.5G ram 12.1G] (0) Epoch 1/1, Batch 150/9734 (mgh10_4), Loss: 4.5312
[20:12:57 gpu 11.5G ram 12.1G] (0) Epoch 1/1, Batch 151/9734 (mgh40_2), Loss: 3.9844
[20:12:58 gpu 11.5G ram 12.1G] (0) Epoch 1/1, Batch 152/9734 (mgh40_2), Loss: 4.0000
[20:12:58 gpu 11.5G ram 12.1G] (0) Epoch 1/1, Batch 153/9734 (mgh40_3), Loss: 3.8438
[20:12:58 gpu 11.5G ram 12.1G] (0) Epoch 1/1, Batch 154/9734 (mgh34_1), Loss: 4.0000
[20:12:58 gpu 11.5G ram 12.1G] (0) Epoch 1/1, Batch 155/9734 (mgh13_0), Loss: 4.0000
[20:12:58 gpu 11.5G ram 12.1G] (0) Epoch 1/1, Batch 156/9734 (btbank2_4), Loss: 4.6250
[20:12:59 gpu 11.5G ram 12.1G] (0) Epoch 1/1, Batch 157/9734 (mgh30_0), Loss: 4.2500
[20:12:59 gpu 11.5G ram 12.1G] (0) Epoch 1/1, Batch 158/9734 (mgh20_0), Loss: 4.1562
[20:12:59 gpu 11.5G ram 12.1G] (0) Epoch 1/1, Batch 159/9734 (mgh33_0), Loss: 4.0938
[20:12:59 gpu 11.5G ram 12.1G] (0) Epoch 1/1, Batch 160/9734 (mgh2_1), Loss: 4.2188
[20:13:00 gpu 11.6G ram 12.1G] (0) Epoch 1/1, Batch 161/9734 (mgh9_1), Loss: 4.1562
[20:13:00 gpu 11.6G ram 12.1G] (0) Epoch 1/1, Batch 162/9734 (mgh40_1), Loss: 3.5781
[20:13:00 gpu 11.6G ram 12.1G] (0) Epoch 1/1, Batch 163/9734 (mgh14_1), Loss: 4.4688
[20:13:00 gpu 11.6G ram 12.1G] (0) Epoch 1/1, Batch 164/9734 (mgh54_1), Loss: 4.1875
[20:13:00 gpu 11.6G ram 12.1G] (0) Epoch 1/1, Batch 165/9734 (mgh51_0), Loss: 4.0000
[20:13:01 gpu 11.6G ram 12.1G] (0) Epoch 1/1, Batch 166/9734 (mgh20_0), Loss: 3.9688
[20:13:01 gpu 11.6G ram 12.1G] (0) Epoch 1/1, Batch 167/9734 (mgh23_0), Loss: 4.4688
[20:13:01 gpu 11.6G ram 12.1G] (0) Epoch 1/1, Batch 168/9734 (mgh10_4), Loss: 4.5938
[20:13:01 gpu 11.6G ram 12.1G] (0) Epoch 1/1, Batch 169/9734 (mgh23_0), Loss: 4.2812
[20:13:01 gpu 11.6G ram 12.1G] (0) Epoch 1/1, Batch 170/9734 (mgh40_2), Loss: 3.8594
[20:13:11 gpu 11.6G ram 12.1G] (0) Epoch 1/1, Batch 171/9734 (mgh40_0), Loss: 3.8125
[20:13:11 gpu 11.6G ram 12.1G] (0) Epoch 1/1, Batch 172/9734 (mgh42_0), Loss: 4.0938
[20:13:11 gpu 11.6G ram 12.1G] (0) Epoch 1/1, Batch 173/9734 (mgh1_3), Loss: 4.1562
[20:13:11 gpu 11.6G ram 12.1G] (0) Epoch 1/1, Batch 174/9734 (mgh28_0), Loss: 4.5000
[20:13:12 gpu 11.6G ram 12.1G] (0) Epoch 1/1, Batch 175/9734 (mgh40_0), Loss: 3.6250
[20:13:12 gpu 11.6G ram 12.1G] (0) Epoch 1/1, Batch 176/9734 (mgh40_2), Loss: 4.0312
[20:13:12 gpu 11.6G ram 12.1G] (0) Epoch 1/1, Batch 177/9734 (mgh17_1), Loss: 3.3125
[20:13:12 gpu 11.6G ram 12.1G] (0) Epoch 1/1, Batch 178/9734 (mgh40_6), Loss: 4.2812
[20:13:12 gpu 11.6G ram 12.1G] (0) Epoch 1/1, Batch 179/9734 (mgh11_0), Loss: 4.4688
[20:13:13 gpu 11.6G ram 12.1G] (0) Epoch 1/1, Batch 180/9734 (mgh42_0), Loss: 4.0625
[20:13:13 gpu 11.6G ram 12.1G] (0) Epoch 1/1, Batch 181/9734 (mgh40_2), Loss: 3.9531
[20:13:13 gpu 11.6G ram 12.1G] (0) Epoch 1/1, Batch 182/9734 (mgh20_0), Loss: 3.9688
[20:13:13 gpu 11.6G ram 12.1G] (0) Epoch 1/1, Batch 183/9734 (mgh60_1), Loss: 4.5938
[20:13:13 gpu 11.6G ram 12.1G] (0) Epoch 1/1, Batch 184/9734 (mgh60_1), Loss: 4.4688
[20:13:14 gpu 11.6G ram 12.1G] (0) Epoch 1/1, Batch 185/9734 (mgh44_0), Loss: 3.5625
[20:13:14 gpu 11.6G ram 12.1G] (0) Epoch 1/1, Batch 186/9734 (mgh52_0), Loss: 4.2188
[20:13:14 gpu 11.6G ram 12.1G] (0) Epoch 1/1, Batch 187/9734 (mgh19_1), Loss: 4.4375
[20:13:14 gpu 11.6G ram 12.1G] (0) Epoch 1/1, Batch 188/9734 (mgh33_0), Loss: 4.0000
[20:13:15 gpu 11.6G ram 12.1G] (0) Epoch 1/1, Batch 189/9734 (mgh25_1), Loss: 4.3438
[20:13:15 gpu 11.6G ram 12.1G] (0) Epoch 1/1, Batch 190/9734 (mgh4_0), Loss: 4.4375
[20:13:15 gpu 11.6G ram 12.1G] (0) Epoch 1/1, Batch 191/9734 (mgh40_2), Loss: 3.9375
[20:13:15 gpu 11.6G ram 12.1G] (0) Epoch 1/1, Batch 192/9734 (btbank9_0), Loss: 4.3438
[20:13:15 gpu 11.6G ram 12.1G] (0) Epoch 1/1, Batch 193/9734 (mgh40_3), Loss: 3.8594
[20:13:16 gpu 11.6G ram 12.1G] (0) Epoch 1/1, Batch 194/9734 (mgh2_1), Loss: 4.6250
[20:13:16 gpu 11.6G ram 12.1G] (0) Epoch 1/1, Batch 195/9734 (mgh40_1), Loss: 3.4219
[20:13:16 gpu 11.6G ram 12.1G] (0) Epoch 1/1, Batch 196/9734 (mgh4_0), Loss: 4.5000
[20:13:16 gpu 11.6G ram 12.1G] (0) Epoch 1/1, Batch 197/9734 (mgh43_1), Loss: 4.3750
[20:13:35 gpu 11.6G ram 12.1G] (0) Epoch 1/1, Batch 198/9734 (mgh57_0), Loss: 11.4375
[20:13:35 gpu 11.6G ram 12.1G] (0) Epoch 1/1, Batch 199/9734 (mgh40_2), Loss: 3.9219
[20:13:35 gpu 11.6G ram 12.1G] (0) Epoch 1/1, Batch 200/9734 (mgh40_0), Loss: 3.5625
[20:13:35 gpu 11.6G ram 12.1G] (0) Epoch 1/1, Batch 201/9734 (mgh40_4), Loss: 4.0625
[20:13:35 gpu 11.6G ram 12.1G] (0) Epoch 1/1, Batch 202/9734 (mgh33_0), Loss: 3.8281
[20:13:35 gpu 11.6G ram 12.1G] (0) Epoch 1/1, Batch 203/9734 (mgh51_0), Loss: 3.7344
[20:13:36 gpu 11.6G ram 12.1G] (0) Epoch 1/1, Batch 204/9734 (mgh34_4), Loss: 3.7500
[20:13:36 gpu 11.6G ram 12.1G] (0) Epoch 1/1, Batch 205/9734 (mgh17_1), Loss: 3.1875
[20:13:36 gpu 11.6G ram 12.1G] (0) Epoch 1/1, Batch 206/9734 (mgh25_1), Loss: 4.0312
[20:13:36 gpu 11.6G ram 12.1G] (0) Epoch 1/1, Batch 207/9734 (mgh9_1), Loss: 4.0312
[20:13:36 gpu 11.6G ram 12.1G] (0) Epoch 1/1, Batch 208/9734 (mgh40_0), Loss: 3.7969
[20:13:36 gpu 11.6G ram 12.1G] (0) Epoch 1/1, Batch 209/9734 (mgh60_1), Loss: 4.5312
[20:13:37 gpu 11.6G ram 12.1G] (0) Epoch 1/1, Batch 210/9734 (mgh1_0), Loss: 3.9375
[20:13:46 gpu 11.6G ram 12.1G] (0) Epoch 1/1, Batch 211/9734 (mgh40_1), Loss: 3.3125
[20:13:46 gpu 11.6G ram 12.1G] (0) Epoch 1/1, Batch 212/9734 (mgh10_4), Loss: 4.4688
[20:13:46 gpu 11.6G ram 12.1G] (0) Epoch 1/1, Batch 213/9734 (mgh33_0), Loss: 4.0000
[20:13:47 gpu 11.6G ram 12.1G] (0) Epoch 1/1, Batch 214/9734 (mgh60_0), Loss: 3.0312
[20:13:47 gpu 11.6G ram 12.1G] (0) Epoch 1/1, Batch 215/9734 (mgh51_0), Loss: 3.8438
[20:13:47 gpu 11.6G ram 12.1G] (0) Epoch 1/1, Batch 216/9734 (mgh60_1), Loss: 4.5000
[20:13:47 gpu 11.6G ram 12.1G] (0) Epoch 1/1, Batch 217/9734 (mgh34_2), Loss: 3.5312
[20:14:06 gpu 11.6G ram 12.1G] (0) Epoch 1/1, Batch 218/9734 (btbank6_0), Loss: 4.7188
[20:14:06 gpu 11.6G ram 12.1G] (0) Epoch 1/1, Batch 219/9734 (mgh30_1), Loss: 3.6719
[20:14:07 gpu 11.6G ram 12.1G] (0) Epoch 1/1, Batch 220/9734 (mgh46_0), Loss: 4.1562
[20:14:07 gpu 11.6G ram 12.1G] (0) Epoch 1/1, Batch 221/9734 (mgh60_1), Loss: 4.5938
[20:14:07 gpu 11.6G ram 12.1G] (0) Epoch 1/1, Batch 222/9734 (mgh11_0), Loss: 4.4375
[20:14:07 gpu 11.6G ram 12.1G] (0) Epoch 1/1, Batch 223/9734 (mgh33_0), Loss: 3.7031
[20:14:08 gpu 11.6G ram 12.1G] (0) Epoch 1/1, Batch 224/9734 (btbank2_2), Loss: 5.6250
